trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1578,False,"{'a': 0.002, 'e': 0.04268106071995433}",25,12,21.460117097944163,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1579,False,"{'a': 0.002, 'e': 0.042595783903756214}",20,12,5.178873606844181,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1580,False,"{'a': 0.002, 'e': 0.042510677470750526}",20,2,27.849063344547144,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1581,False,"{'a': 0.002, 'e': 0.042425741080511385}",25,20,10.350469026696246,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1582,False,"{'a': 0.002, 'e': 0.042340974393293145}",20,10,19.836637799921068,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1583,False,"{'a': 0.002, 'e': 0.042256377070028925}",20,16,7.631173438802762,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1584,False,"{'a': 0.002, 'e': 0.04217194877232933}",20,0,-4.829803943603386,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
1585,False,"{'a': 0.002, 'e': 0.042087689162481054}",20,13,10.871200159981854,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1586,False,"{'a': 0.002, 'e': 0.04200359790344555}",20,8,16.49286080653222,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1587,False,"{'a': 0.002, 'e': 0.04191967465885765}",25,7,27.882908827818888,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1588,False,"{'a': 0.002, 'e': 0.0418359190930243}",25,15,18.41024538731064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1589,False,"{'a': 0.002, 'e': 0.04175233087092308}",20,10,17.849427064817505,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1590,False,"{'a': 0.002, 'e': 0.04166890965820104}",20,11,18.597007781358986,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1591,False,"{'a': 0.002, 'e': 0.04158565512117316}",25,0,39.461333161583546,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1592,False,"{'a': 0.002, 'e': 0.04150256692682124}",30,4,35.76983782556919,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
1593,False,"{'a': 0.002, 'e': 0.04141964474279235}",20,14,12.620126469493304,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1594,False,"{'a': 0.002, 'e': 0.041336888237397666}",20,8,24.02619223494038,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1595,False,"{'a': 0.002, 'e': 0.04125429707961103}",20,8,16.102618606912174,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1596,False,"{'a': 0.002, 'e': 0.04117187093906774}",20,10,19.825243835144256,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1597,False,"{'a': 0.002, 'e': 0.04108960948606308}",30,21,18.20370317019232,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1598,False,"{'a': 0.002, 'e': 0.04100751239155117}",25,1,15.617200363382928,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
1599,False,"{'a': 0.002, 'e': 0.04092557932714349}",25,8,32.11081165310727,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1600,False,"{'a': 0.002, 'e': 0.0408438099651077}",20,14,11.306443823393876,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1601,False,"{'a': 0.002, 'e': 0.04076220397836621}",30,18,23.107575722934776,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1602,False,"{'a': 0.002, 'e': 0.040680761040495}",25,10,27.064015669243748,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1603,False,"{'a': 0.002, 'e': 0.04059948082572218}",20,4,30.098695769115107,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1604,False,"{'a': 0.002, 'e': 0.040518363008926805}",20,8,21.664126995531845,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1605,False,"{'a': 0.002, 'e': 0.04043740726563748}",20,0,29.751880102056052,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1606,False,"{'a': 0.002, 'e': 0.04035661327203115}",20,14,9.415295002055817,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1607,False,"{'a': 0.002, 'e': 0.0402759807049317}",25,11,20.59012012010521,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1608,False,"{'a': 0.002, 'e': 0.040195509241808786}",20,16,9.42077310994745,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1609,False,"{'a': 0.002, 'e': 0.040115198560776416}",20,12,16.4362048413442,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1610,False,"{'a': 0.002, 'e': 0.040035048340591795}",30,13,30.236642704542678,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1611,False,"{'a': 0.002, 'e': 0.039955058260653896}",20,16,6.353788197365526,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
